age_upon_intake_(years),time_in_shelter_days
9,0.918055556
8,0.215972222
5,18.24583333
9,0.3
4,23.08472222
7,0.139583333
8,1.039583333
6,10.86597222
8,6.015972222
7,6.815972222
7,0.040277778
11,36.16041667
6,2.161805556
10,4.873611111
8,19.00486111
7,11.19722222
6,248.8736111
13,1.802083333
9,0.220138889
8,119.11875
6,6.733333333
5,0.865277778
9,2.063194444
7,14.22638889
12,2.95
5,10.88402778
5,47.16458333
8,2.829166667
5,11.04236111
4,10.11736111
9,2.009027778
8,11.18819444
6,3.693055556
11,1.096527778
10,1.046527778
9,17.26319444
8,1.072222222
19,0.033333333
10,0.065972222
7,12.12013889
6,1.054166667
7,0.142361111
8,10.65
12,51.89166667
12,6.488194444
12,3.997916667
10,2.120833333
8,32.87222222
9,0.982638889
6,0.795833333
4,4.224305556
7,31.20694444
10,0.804861111
5,13.63888889
5,1.070833333
9,11.01527778
10,3.940972222
10,2.920138889
5,9.802083333
10,0.150694444
9,0.329861111
10,2.124305556
9,0.054166667
8,0.272916667
8,0.272916667
9,112.0298611
9,0.268055556
9,0.234027778
6,0.971527778
6,1.153472222
13,3.040277778
7,68.27152778
7,30.05902778
9,2.081944444
8,2.114583333
5,5.108333333
6,8.679861111
6,4.044444444
6,1.818055556
8,7.878472222
11,0.211111111
14,0.021527778
8,8.089583333
7,8.088194444
5,10.17361111
9,1.146527778
5,0.24375
8,7.69375
8,224.9375
12,3.002777778
6,0.078472222
4,0.079861111
8,0.217361111
11,0.139583333
5,2.368055556
5,9.94375
11,6.654166667
5,136.7368056
10,0.0375
5,2.146527778
4,1.091666667
13,0.842361111
7,2.14375
6,1.717361111
10,6.052083333
5,18.84375
5,29.10347222
5,9.851388889
9,0.022222222
8,1.0875
10,10.10902778
6,1.008333333
5,24.96736111
7,2.211111111
7,1.014583333
7,2.967361111
7,27.28055556
6,0.029166667
5,0.163194444
5,1.070138889
4,6.900694444
5,9.95
5,219.9180556
9,1.103472222
7,10.39236111
10,0.127083333
4,133.6201389
6,3.929166667
8,2.847222222
8,2.072916667
7,5.925694444
5,6.209722222
8,17.15347222
12,0.510416667
7,9.9625
7,10.14444444
8,42.07986111
7,10.2625
5,4.086111111
9,2.042361111
8,26.01597222
8,20.97291667
4,59.98472222
7,2.0375
4,3.029166667
5,13.72013889
8,34.09652778
8,2.761805556
6,0.088194444
5,5.045833333
7,0.090277778
9,0.245833333
6,2.127777778
3,2.146527778
1,2.576388889
0.904109589,0.739583333
0.739726027,2.80625
8,9.011805556
10,0.045138889
5,50.07708333
9,6.733333333
8,0.416666667
8,0.91875
7,10.95208333
9,8.007638889
3,44.03888889
7,3.936111111
7,92.88472222
7,64.92986111
7,0.872916667
4,0.66875
6,0.713888889
4,1.898611111
8,12.25208333
4,32.05347222
6,5.900694444
5,12.86319444
5,11.87152778
5,2.990277778
9,78.15763889
9,3.084722222
3,30.20902778
7,23.60138889
7,25.95486111
